# HOMER Peaks
# Peak finding parameters:
# tag directory = HCT116-treated
#
# total peaks = 8958
# peak size = 217
# peaks found using tags on both strands
# minimum distance between peaks = 434
# fragment length = 206
# genome size = 2000000000
# Total tags = 44527481.0
# Total tags in peaks = 955564.0
# Approximate IP efficiency = 2.15%
# tags per bp = 0.022107
# expected tags per peak = 4.797
# maximum tags considered per bp = 2.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.719535e-07
# FDR tag threshold = 19.0
# number of putative peaks = 17043
#
# input tag directory = HCT116-input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 6934
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 1147
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 4
#
# cmd = findPeaks HCT116-treated -i HCT116-input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr4-5	chr4	31236204	31236420	+	290.4	0.933	698.000000	901.7	4.0	225.42	0.00e+00	103.06	0.00e+00	0.56
chr1-9	chr1	212769794	212770010	+	288.8	0.907	691.000000	895.4	3.0	298.47	0.00e+00	83.17	0.00e+00	0.57
chr7-5	chr7	137849547	137849763	+	288.4	0.903	690.000000	894.7	6.0	149.12	0.00e+00	92.33	0.00e+00	0.58
chr1-8	chr1	69521016	69521232	+	285.7	0.890	698.000000	888.5	4.0	222.12	0.00e+00	81.91	0.00e+00	0.56
chr13-1	chr13	48640780	48640996	+	283.9	0.909	697.000000	879.4	5.0	175.89	0.00e+00	87.93	0.00e+00	0.56
chr16-4	chr16	89524942	89525158	+	283.0	0.888	651.000000	876.7	5.0	175.33	0.00e+00	84.21	0.00e+00	0.61
chr1-10	chr1	187607919	187608135	+	279.6	0.943	638.000000	866.9	1.0	866.94	0.00e+00	87.21	0.00e+00	0.63
chr4-4	chr4	75811787	75812003	+	275.6	0.927	710.000000	853.7	2.0	426.87	0.00e+00	105.28	0.00e+00	0.55
chr16-2	chr16	20877181	20877397	+	272.2	0.883	692.000000	842.6	3.0	280.88	0.00e+00	76.66	0.00e+00	0.56
chr8-7	chr8	124624666	124624882	+	271.7	0.883	721.000000	842.6	9.0	93.63	0.00e+00	71.50	0.00e+00	0.54
chr6-9	chr6	81246033	81246249	+	270.8	0.905	584.000000	837.8	6.0	139.63	0.00e+00	72.63	0.00e+00	0.68
chr14-2	chr14	67399423	67399639	+	267.9	0.900	698.000000	829.4	5.0	165.89	0.00e+00	83.05	0.00e+00	0.55
chr12-5	chr12	78551104	78551320	+	267.7	0.920	702.000000	831.5	2.0	415.76	0.00e+00	90.78	0.00e+00	0.52
chr16-1	chr16	4190764	4190980	+	258.9	0.898	706.000000	802.3	9.0	89.15	0.00e+00	86.62	0.00e+00	0.54
chr17-7	chr17	60221409	60221625	+	258.5	0.868	611.000000	810.0	4.0	202.49	0.00e+00	64.81	0.00e+00	0.65
chr12-7	chr12	19584864	19585080	+	258.0	0.894	686.000000	801.6	3.0	267.21	0.00e+00	87.34	0.00e+00	0.56
chr3-1	chr3	153332484	153332700	+	257.1	0.897	683.000000	796.1	4.0	199.02	0.00e+00	78.96	0.00e+00	0.57
chr4-6	chr4	123719440	123719656	+	255.8	0.913	685.000000	791.9	5.0	158.38	0.00e+00	86.44	0.00e+00	0.56
chr13-2	chr13	51103549	51103765	+	253.8	0.905	688.000000	788.4	2.0	394.22	0.00e+00	83.78	0.00e+00	0.56
chr8-9	chr8	41676338	41676554	+	253.1	0.907	661.000000	785.0	9.0	87.22	0.00e+00	85.60	0.00e+00	0.58
chr6-5	chr6	152543021	152543237	+	252.4	0.885	670.000000	783.6	5.0	156.72	0.00e+00	80.04	0.00e+00	0.59
chr3-2	chr3	159547415	159547631	+	245.9	0.939	651.000000	763.4	7.0	109.06	0.00e+00	99.93	0.00e+00	0.57
chr9-3	chr9	114907135	114907351	+	243.2	0.888	682.000000	752.3	5.0	150.46	0.00e+00	87.96	0.00e+00	0.55
chr7-6	chr7	33327524	33327740	+	237.6	0.876	661.000000	737.7	4.0	184.43	0.00e+00	73.58	0.00e+00	0.57
chr8-10	chr8	133037528	133037744	+	235.1	0.886	656.000000	732.2	4.0	183.04	0.00e+00	73.20	0.00e+00	0.58
chr11-1	chr11	10066199	10066415	+	235.1	0.897	646.000000	729.4	2.0	364.70	0.00e+00	89.99	0.00e+00	0.59
chr11-2	chr11	1851985	1852201	+	234.9	0.894	645.000000	728.7	1.0	728.70	0.00e+00	78.31	0.00e+00	0.58
chr10-4	chr10	62520537	62520753	+	234.7	0.905	652.000000	728.0	3.0	242.67	0.00e+00	83.67	0.00e+00	0.57
chr4-7	chr4	134311440	134311656	+	234.2	0.896	667.000000	725.9	6.0	120.99	0.00e+00	78.37	0.00e+00	0.56
chr4-13	chr4	75279235	75279451	+	231.8	0.923	552.000000	718.3	0.5	1436.57	0.00e+00	49.31	0.00e+00	0.71
chr19-2	chr19	16003629	16003845	+	231.1	0.784	640.000000	719.0	2.0	359.49	0.00e+00	52.44	0.00e+00	0.59
chr1-13	chr1	111757161	111757377	+	229.7	0.871	632.000000	710.6	5.0	142.13	0.00e+00	69.94	0.00e+00	0.60
chr19-3	chr19	6577517	6577733	+	229.3	0.862	614.000000	709.9	3.0	236.65	0.00e+00	67.03	0.00e+00	0.61
chr1-11	chr1	182730587	182730803	+	228.4	0.901	636.000000	708.6	3.0	236.19	0.00e+00	93.98	0.00e+00	0.58
chr14-3	chr14	34767051	34767267	+	226.2	0.881	656.000000	699.5	3.0	233.18	0.00e+00	89.63	0.00e+00	0.56
chr3-3	chr3	36974446	36974662	+	225.9	0.894	594.000000	704.4	4.0	176.10	0.00e+00	79.61	0.00e+00	0.65
chr11-3	chr11	4485566	4485782	+	225.7	0.922	641.000000	699.5	4.0	174.88	0.00e+00	103.00	0.00e+00	0.58
chr5-3	chr5	110830381	110830597	+	225.3	0.874	670.000000	696.7	0.5	1393.50	0.00e+00	68.80	0.00e+00	0.55
chr5-4	chr5	36442485	36442701	+	224.6	0.897	623.000000	695.4	7.0	99.34	0.00e+00	92.39	0.00e+00	0.61
chr17-6	chr17	42230342	42230558	+	222.3	0.875	620.000000	688.4	3.0	229.47	0.00e+00	78.01	0.00e+00	0.61
chr10-5	chr10	106569084	106569300	+	219.9	0.889	628.000000	682.9	12.0	56.90	0.00e+00	65.03	0.00e+00	0.59
chr4-8	chr4	157692659	157692875	+	214.9	0.903	630.000000	666.2	5.0	133.24	0.00e+00	67.80	0.00e+00	0.58
chr8-11	chr8	103248969	103249185	+	214.7	0.910	647.000000	668.3	5.0	133.65	0.00e+00	52.96	0.00e+00	0.57
chr16-5	chr16	78029797	78030013	+	212.9	0.892	632.000000	658.5	4.0	164.64	0.00e+00	24.29	0.00e+00	0.59
chr15-2	chr15	63449380	63449596	+	212.5	0.831	616.000000	659.2	4.0	164.81	0.00e+00	58.56	0.00e+00	0.59
chr1-12	chr1	68190937	68191153	+	212.2	0.873	635.000000	656.5	8.0	82.06	0.00e+00	66.53	0.00e+00	0.58
chr14-4	chr14	21220189	21220405	+	211.8	0.886	642.000000	659.2	4.0	164.81	0.00e+00	85.54	0.00e+00	0.58
chr6-15	chr6	26687130	26687346	+	210.9	0.848	535.000000	654.4	5.0	130.87	0.00e+00	82.51	0.00e+00	0.72
chr2-4	chr2	46399522	46399738	+	209.8	0.906	637.000000	650.2	6.0	108.37	0.00e+00	73.28	0.00e+00	0.56
chr8-12	chr8	102066204	102066420	+	208.6	0.827	594.000000	647.4	3.0	215.81	0.00e+00	51.83	0.00e+00	0.65
chr16-6	chr16	78025633	78025849	+	208.0	0.874	615.000000	643.3	4.0	160.81	0.00e+00	22.88	0.00e+00	0.60
chr9-4	chr9	124084707	124084923	+	207.1	0.930	609.000000	641.9	2.0	320.94	0.00e+00	94.91	0.00e+00	0.59
chr1-16	chr1	89267646	89267862	+	205.9	0.883	541.000000	639.1	2.0	319.55	0.00e+00	72.24	0.00e+00	0.69
chr12-8	chr12	120884030	120884246	+	205.9	0.886	606.000000	637.7	10.0	63.77	0.00e+00	88.61	0.00e+00	0.59
chr4-9	chr4	78263663	78263879	+	204.8	0.908	606.000000	633.5	2.0	316.77	0.00e+00	26.91	0.00e+00	0.59
chr2-5	chr2	19428608	19428824	+	202.8	0.881	611.000000	630.1	2.0	315.03	0.00e+00	66.63	0.00e+00	0.60
chr6-7	chr6	20867015	20867231	+	202.6	0.880	610.000000	629.4	7.0	89.91	0.00e+00	67.70	0.00e+00	0.59
chr20-1	chr20	36023351	36023567	+	201.2	0.920	588.000000	623.1	0.5	1246.23	0.00e+00	89.76	0.00e+00	0.60
chr3-4	chr3	5036690	5036906	+	201.0	0.917	582.000000	622.4	6.0	103.74	0.00e+00	67.32	0.00e+00	0.61
chr2-6	chr2	169309362	169309578	+	199.4	0.891	610.000000	621.7	5.0	124.34	0.00e+00	75.39	0.00e+00	0.58
chr6-6	chr6	118895225	118895441	+	198.5	0.900	617.000000	616.2	5.0	123.23	0.00e+00	79.60	0.00e+00	0.60
chr13-3	chr13	114540306	114540522	+	198.3	0.868	598.000000	615.5	5.0	123.09	0.00e+00	74.46	0.00e+00	0.60
chr9-5	chr9	84636229	84636445	+	194.7	0.912	606.000000	603.0	5.0	120.59	0.00e+00	91.01	0.00e+00	0.57
chr9-7	chr9	139001580	139001796	+	193.8	0.945	556.000000	599.5	2.0	299.75	0.00e+00	78.44	0.00e+00	0.64
chr2-7	chr2	102320572	102320788	+	193.6	0.917	606.000000	600.9	6.0	100.15	0.00e+00	87.71	0.00e+00	0.59
chr11-4	chr11	94798606	94798822	+	192.7	0.918	600.000000	597.4	7.0	85.34	0.00e+00	70.33	0.00e+00	0.60
chr11-5	chr11	108819077	108819293	+	192.7	0.879	596.000000	596.7	8.0	74.59	0.00e+00	89.13	0.00e+00	0.60
chr12-9	chr12	57489967	57490183	+	192.0	0.915	598.000000	594.6	3.0	198.21	0.00e+00	89.02	0.00e+00	0.59
chr4-10	chr4	78254158	78254374	+	191.6	0.875	592.000000	593.2	6.0	98.87	0.00e+00	79.86	0.00e+00	0.60
chr15-3	chr15	93493233	93493449	+	191.6	0.884	590.000000	593.2	7.0	84.75	0.00e+00	65.03	0.00e+00	0.61
chr21-2	chr21	19080873	19081089	+	191.3	0.886	567.000000	593.9	4.0	148.48	0.00e+00	78.53	0.00e+00	0.63
chr5-5	chr5	152191629	152191845	+	189.3	0.907	581.000000	585.6	2.0	292.80	0.00e+00	89.21	0.00e+00	0.61
chr13-4	chr13	74087975	74088191	+	188.2	0.898	575.000000	582.8	1.0	582.82	0.00e+00	82.19	0.00e+00	0.63
chr14-5	chr14	51067006	51067222	+	187.7	0.864	597.000000	582.1	7.0	83.16	0.00e+00	54.98	0.00e+00	0.59
chr14-7	chr14	103710484	103710700	+	187.1	0.878	535.000000	580.0	3.0	193.35	0.00e+00	72.92	0.00e+00	0.69
chr15-4	chr15	49917941	49918157	+	186.0	0.895	577.000000	576.6	6.0	96.10	0.00e+00	68.41	0.00e+00	0.61
chr7-9	chr7	11122452	11122668	+	184.6	0.884	569.000000	571.7	2.0	285.85	0.00e+00	60.58	0.00e+00	0.63
chr7-7	chr7	121145944	121146160	+	184.6	0.897	586.000000	571.0	3.0	190.34	0.00e+00	61.03	0.00e+00	0.61
chr4-12	chr4	33748744	33748960	+	184.2	0.880	573.000000	571.0	3.0	190.34	0.00e+00	76.32	0.00e+00	0.62
chr15-5	chr15	52156749	52156965	+	183.7	0.896	576.000000	569.6	6.0	94.94	0.00e+00	71.16	0.00e+00	0.61
chr6-12	chr6	4384131	4384347	+	183.0	0.886	566.000000	566.2	7.0	80.88	0.00e+00	72.72	0.00e+00	0.61
chr3-5	chr3	186901078	186901294	+	182.8	0.913	582.000000	568.2	5.0	113.65	0.00e+00	91.52	0.00e+00	0.61
chr6-8	chr6	111805222	111805438	+	182.8	0.875	586.000000	565.5	11.0	51.41	0.00e+00	63.54	0.00e+00	0.60
chr9-6	chr9	130057378	130057594	+	181.9	0.873	578.000000	564.8	9.0	62.75	0.00e+00	73.29	0.00e+00	0.60
chr19-5	chr19	15757488	15757704	+	179.4	0.860	569.000000	557.8	6.0	92.97	0.00e+00	68.97	0.00e+00	0.61
chr7-8	chr7	117270660	117270876	+	179.2	0.888	577.000000	557.1	2.0	278.56	0.00e+00	64.38	0.00e+00	0.59
chr11-6	chr11	28542730	28542946	+	179.2	0.878	591.000000	555.7	2.0	277.87	0.00e+00	72.64	0.00e+00	0.59
chr6-10	chr6	106546364	106546580	+	179.0	0.828	576.000000	557.8	7.0	79.69	0.00e+00	46.37	0.00e+00	0.61
chr4-11	chr4	78265257	78265473	+	178.8	0.879	584.000000	555.0	2.0	277.52	0.00e+00	21.45	0.00e+00	0.60
chr19-8	chr19	18475704	18475920	+	177.9	0.821	547.000000	551.6	1.0	551.56	0.00e+00	55.88	0.00e+00	0.63
chr17-8	chr17	19656531	19656747	+	177.4	0.928	576.000000	550.9	5.0	110.17	0.00e+00	80.48	0.00e+00	0.60
chr19-6	chr19	18335349	18335565	+	177.4	0.895	562.000000	549.5	5.0	109.90	0.00e+00	83.39	0.00e+00	0.61
chr11-7	chr11	60331156	60331372	+	176.5	0.885	578.000000	546.7	4.0	136.68	0.00e+00	77.46	0.00e+00	0.59
chr5-6	chr5	14707	14923	+	175.4	0.944	477.000000	543.9	4.0	135.98	0.00e+00	102.52	0.00e+00	0.76
chr8-13	chr8	74087727	74087943	+	173.8	0.855	548.000000	539.1	7.0	77.01	0.00e+00	57.06	0.00e+00	0.63
chr12-10	chr12	2113721	2113937	+	173.2	0.917	567.000000	536.3	4.0	134.07	0.00e+00	77.91	0.00e+00	0.60
chr14-6	chr14	57133080	57133296	+	173.2	0.896	559.000000	537.7	5.0	107.53	0.00e+00	96.18	0.00e+00	0.63
chr1-18	chr1	111907469	111907685	+	172.9	0.898	523.000000	536.3	4.0	134.07	0.00e+00	65.58	0.00e+00	0.68
chr19-7	chr19	51399839	51400055	+	172.9	0.905	561.000000	536.3	7.0	76.61	0.00e+00	84.05	0.00e+00	0.62
chr1-15	chr1	199918188	199918404	+	172.0	0.905	565.000000	532.1	4.0	133.03	0.00e+00	76.37	0.00e+00	0.61
chr2-10	chr2	178034973	178035189	+	171.8	0.873	554.000000	532.8	8.0	66.60	0.00e+00	49.87	0.00e+00	0.61
chr1-14	chr1	95302551	95302767	+	171.6	0.885	566.000000	532.8	4.0	133.20	0.00e+00	70.88	0.00e+00	0.61
chr12-11	chr12	79139937	79140153	+	171.4	0.875	553.000000	531.4	5.0	106.28	0.00e+00	56.34	0.00e+00	0.61
chr6-11	chr6	24827508	24827724	+	170.7	0.909	573.000000	528.6	4.0	132.16	0.00e+00	73.90	0.00e+00	0.61
chr11-8	chr11	5711686	5711902	+	169.3	0.829	557.000000	526.6	5.0	105.31	0.00e+00	52.81	0.00e+00	0.62
chr11-9	chr11	102127071	102127287	+	169.1	0.910	552.000000	525.2	3.0	175.06	0.00e+00	76.36	0.00e+00	0.63
chr3-6	chr3	58860147	58860363	+	168.7	0.837	559.000000	523.1	7.0	74.73	0.00e+00	59.79	0.00e+00	0.61
chr9-8	chr9	72591285	72591501	+	168.7	0.922	553.000000	523.8	4.0	130.94	0.00e+00	81.08	0.00e+00	0.58
chr8-14	chr8	128807925	128808141	+	168.2	0.818	545.000000	525.2	4.0	131.29	0.00e+00	35.85	0.00e+00	0.63
chr16-7	chr16	66961892	66962108	+	167.8	0.857	570.000000	521.7	5.0	104.34	0.00e+00	61.48	0.00e+00	0.60
chr2-8	chr2	37881304	37881520	+	167.5	0.903	561.000000	520.3	8.0	65.04	0.00e+00	64.29	0.00e+00	0.62
chr2-12	chr2	106020767	106020983	+	167.3	0.912	531.000000	518.9	3.0	172.97	0.00e+00	70.78	0.00e+00	0.64
chr12-14	chr12	123431390	123431606	+	167.3	0.934	533.000000	518.2	4.0	129.55	0.00e+00	98.94	0.00e+00	0.63
chr2-9	chr2	88837901	88838117	+	166.6	0.885	558.000000	515.4	1.0	515.44	0.00e+00	73.26	0.00e+00	0.60
chr4-14	chr4	90602418	90602634	+	166.6	0.909	549.000000	517.5	6.0	86.25	0.00e+00	73.42	0.00e+00	0.62
chr6-14	chr6	147365450	147365666	+	162.6	0.914	539.000000	502.9	5.0	100.59	0.00e+00	84.11	0.00e+00	0.63
chr3-9	chr3	140142436	140142652	+	161.7	0.878	492.000000	501.5	6.0	83.59	0.00e+00	56.57	0.00e+00	0.70
chr9-9	chr9	94909660	94909876	+	161.2	0.865	521.000000	498.8	5.0	99.75	0.00e+00	77.25	0.00e+00	0.67
chr2-11	chr2	186432799	186433015	+	159.5	0.898	539.000000	496.0	3.0	165.33	0.00e+00	63.08	0.00e+00	0.62
chr10-6	chr10	118394064	118394280	+	159.2	0.833	535.000000	493.2	2.0	246.61	0.00e+00	46.19	0.00e+00	0.61
chr15-7	chr15	93345548	93345764	+	159.0	0.889	522.000000	493.2	3.0	164.40	0.00e+00	62.29	0.00e+00	0.64
chr12-13	chr12	48996057	48996273	+	158.3	0.861	534.000000	493.2	6.0	82.20	0.00e+00	70.59	0.00e+00	0.63
chr11-10	chr11	9631594	9631810	+	157.2	0.846	539.000000	487.0	7.0	69.57	0.00e+00	49.23	0.00e+00	0.60
chr19-10	chr19	42364377	42364593	+	157.2	0.866	523.000000	488.3	3.0	162.78	0.00e+00	58.08	0.00e+00	0.64
chr6-16	chr6	112308595	112308811	+	157.0	0.877	530.000000	486.3	5.0	97.25	0.00e+00	63.01	0.00e+00	0.63
chr15-6	chr15	59458016	59458232	+	157.0	0.894	527.000000	487.0	7.0	69.57	0.00e+00	68.51	0.00e+00	0.64
chr11-11	chr11	47236430	47236646	+	155.0	0.908	504.000000	480.0	3.0	160.00	0.00e+00	69.28	0.00e+00	0.65
chr1-17	chr1	91995532	91995748	+	154.7	0.878	536.000000	478.6	8.0	59.83	0.00e+00	71.47	0.00e+00	0.62
chr12-15	chr12	75571799	75572015	+	154.7	0.910	526.000000	480.0	5.0	96.00	0.00e+00	71.80	0.00e+00	0.63
chrX-1	chrX	132920482	132920698	+	154.3	0.900	520.000000	479.3	1.0	479.32	0.00e+00	119.58	0.00e+00	0.63
chr10-7	chr10	127656223	127656439	+	153.8	0.894	524.000000	477.9	10.0	47.79	0.00e+00	55.00	0.00e+00	0.65
chr2-13	chr2	169440342	169440558	+	153.6	0.907	519.000000	475.8	3.0	158.62	0.00e+00	68.99	0.00e+00	0.65
chr4-15	chr4	114482389	114482605	+	153.6	0.880	516.000000	477.2	4.0	119.31	0.00e+00	56.77	0.00e+00	0.66
chr13-5	chr13	23973516	23973732	+	153.6	0.878	494.000000	475.8	3.0	158.62	0.00e+00	75.43	0.00e+00	0.68
chr17-10	chr17	15867155	15867371	+	153.6	0.905	521.000000	476.5	6.0	79.42	0.00e+00	71.55	0.00e+00	0.62
chr12-12	chr12	119807807	119808023	+	153.2	0.849	536.000000	474.5	1.0	474.46	0.00e+00	57.01	0.00e+00	0.61
chr12-17	chr12	47950147	47950363	+	152.9	0.901	498.000000	474.5	2.0	237.23	0.00e+00	73.65	0.00e+00	0.66
chr4-17	chr4	26408354	26408570	+	152.3	0.890	500.000000	472.4	1.0	472.37	0.00e+00	58.00	0.00e+00	0.68
chr19-9	chr19	18484658	18484874	+	151.8	0.855	523.000000	473.1	7.0	67.58	0.00e+00	54.16	0.00e+00	0.64
chr8-15	chr8	145927310	145927526	+	151.6	0.887	517.000000	469.6	1.0	469.59	0.00e+00	72.24	0.00e+00	0.64
chr10-9	chr10	89602923	89603139	+	151.1	0.893	510.000000	470.3	6.0	78.38	0.00e+00	52.95	0.00e+00	0.67
chr17-11	chr17	10109007	10109223	+	150.5	0.883	514.000000	466.8	3.0	155.60	0.00e+00	89.10	0.00e+00	0.64
