# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/jkissinger/lab5/tagdirs/Sox2
#
# total peaks = 2236
# peak size = 75
# peaks found using tags on both strands
# minimum distance between peaks = 150
# fragment length = 74
# genome size = 2000000000
# Total tags = 1717745.0
# Total tags in peaks = 47099.0
# Approximate IP efficiency = 2.74%
# tags per bp = 0.000826
# expected tags per peak = 0.062
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.834966e-07
# FDR tag threshold = 4.0
# number of putative peaks = 101193
#
# input tag directory = /home/jkissinger/lab5/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 93712
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 5245
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /home/jkissinger/lab5/tagdirs/Sox2 -i /home/jkissinger/lab5/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
17-22	17	31057342	31057416	+	978.0	0.759	73.000000	169.0	5.0	33.87	1.55e-189	39.25	3.41e-194	0.92
17-27	17	70828317	70828391	+	937.3	0.737	72.000000	163.0	6.0	27.22	6.41e-168	22.33	1.14e-151	0.92
17-30	17	55952128	55952202	+	925.6	0.709	70.000000	164.0	1.0	164.34	8.00e-295	34.73	5.27e-179	0.94
17-38	17	62109212	62109286	+	844.1	0.764	66.000000	145.0	1.0	145.30	3.40e-253	43.30	2.52e-174	0.97
17-39	17	79654436	79654510	+	815.0	0.670	65.000000	142.0	4.0	35.57	1.64e-162	39.30	5.55e-165	0.98
17-46	17	76111948	76112022	+	780.1	0.714	61.000000	134.0	3.0	44.76	1.68e-166	37.44	1.35e-150	1.01
17-37	17	35939264	35939338	+	774.3	0.661	67.000000	134.0	5.0	26.86	1.24e-137	35.40	1.13e-148	0.92
17-44	17	87558625	87558699	+	756.8	0.742	63.000000	130.0	2.0	65.13	2.22e-182	39.89	4.68e-154	1.00
17-41	17	15678013	15678087	+	698.6	0.654	63.000000	120.0	3.0	40.08	1.08e-143	26.03	6.95e-120	0.94
17-42	17	17740126	17740200	+	686.9	0.707	63.000000	119.0	7.0	17.04	5.08e-100	27.18	5.87e-118	0.96
17-54	17	87973886	87973960	+	686.9	0.580	59.000000	120.0	7.0	17.18	2.96e-101	20.88	4.56e-109	1.01
17-45	17	47503889	47503963	+	681.1	0.836	61.000000	118.0	6.0	19.71	2.94e-106	26.10	4.98e-117	0.98
17-35	17	87471826	87471900	+	681.1	0.828	68.000000	118.0	6.0	19.71	2.94e-106	23.43	6.96e-111	0.86
17-48	17	32295941	32296015	+	634.6	0.760	59.000000	109.0	2.0	54.61	4.97e-145	26.76	3.77e-111	0.99
17-49	17	33600053	33600127	+	622.9	0.781	59.000000	108.0	1.0	108.22	2.23e-175	26.47	1.26e-107	0.97
17-40	17	47571864	47571938	+	622.9	0.867	64.000000	107.0	7.0	15.32	1.72e-85	23.21	8.71e-104	0.89
17-53	17	83522722	83522796	+	611.3	0.667	59.000000	106.0	4.0	26.55	8.85e-109	18.23	2.09e-91	0.96
17-43	17	51462277	51462351	+	605.4	0.585	63.000000	108.0	3.0	36.07	1.05e-124	41.18	8.69e-125	0.90
17-50	17	43197434	43197508	+	599.6	0.785	59.000000	104.0	2.0	52.11	2.20e-136	37.45	1.21e-120	0.95
17-52	17	46812635	46812709	+	599.6	0.749	59.000000	103.0	4.0	25.80	1.61e-104	16.54	8.87e-85	0.95
17-57	17	34340786	34340860	+	588.0	0.638	57.000000	104.0	4.0	26.05	6.19e-106	32.35	6.41e-110	0.97
17-70	17	40495659	40495733	+	564.7	0.837	53.000000	98.0	6.0	16.37	4.20e-81	29.37	8.36e-104	1.03
17-47	17	78635799	78635873	+	564.7	0.704	60.000000	97.0	7.0	13.89	8.00e-74	23.10	4.09e-93	0.90
17-101	17	94651684	94651758	+	564.7	0.761	48.000000	97.0	1.0	97.20	3.14e-153	19.76	6.66e-87	1.30
17-36	17	26537931	26538005	+	558.9	0.759	67.000000	98.0	3.0	32.73	2.56e-109	29.03	3.07e-101	0.83
17-58	17	47713414	47713488	+	547.2	0.706	57.000000	94.0	9.0	10.47	5.26e-61	26.92	3.19e-97	0.94
17-59	17	70866724	70866798	+	541.4	0.446	56.000000	94.0	8.0	11.77	2.19e-65	12.30	1.25e-65	0.96
17-51	17	43592526	43592600	+	535.6	0.797	59.000000	92.0	2.0	46.09	4.57e-116	30.96	1.66e-99	0.89
17-65	17	93482489	93482563	+	535.6	0.631	55.000000	92.0	3.0	30.73	2.70e-100	29.01	6.24e-95	0.95
17-74	17	84713918	84713992	+	523.9	0.691	53.000000	90.0	7.0	12.88	6.42e-66	22.56	1.36e-85	0.98
17-61	17	14693400	14693474	+	500.7	0.692	55.000000	86.0	3.0	28.73	1.93e-91	25.80	1.41e-86	0.92
17-60	17	90788267	90788341	+	500.7	0.628	56.000000	86.0	2.0	43.09	3.72e-106	26.91	4.50e-88	0.90
17-55	17	29405677	29405751	+	494.8	0.730	58.000000	86.0	4.0	21.54	4.01e-81	32.23	1.65e-94	0.87
17-64	17	85799354	85799428	+	494.8	0.620	55.000000	85.0	3.0	28.39	5.55e-90	29.07	8.10e-91	0.90
17-78	17	94648020	94648094	+	494.8	0.717	52.000000	85.0	4.0	21.29	8.64e-80	18.90	7.06e-74	0.96
17-88	17	72882011	72882085	+	489.0	0.649	50.000000	84.0	2.0	42.09	6.83e-103	36.29	2.41e-95	0.99
17-90	17	31819528	31819602	+	483.2	0.639	49.000000	83.0	4.0	20.79	3.87e-77	25.25	7.76e-84	1.00
17-86	17	70772775	70772849	+	483.2	0.687	50.000000	83.0	3.0	27.72	4.43e-87	19.54	5.15e-75	0.98
17-63	17	75557271	75557345	+	483.2	0.832	55.000000	85.0	3.0	28.39	5.55e-90	27.40	1.18e-85	0.92
17-83	17	84355221	84355295	+	483.2	0.711	51.000000	85.0	4.0	21.29	8.64e-80	12.19	2.05e-58	0.99
17-79	17	3460714	3460788	+	477.4	0.703	51.000000	82.0	5.0	16.43	2.66e-68	29.98	9.70e-89	0.99
17-80	17	25680011	25680085	+	477.4	0.674	51.000000	82.0	4.0	20.54	8.06e-76	32.88	9.92e-90	0.96
17-66	17	9722848	9722922	+	471.5	0.711	54.000000	86.0	7.0	12.31	1.66e-61	35.49	1.92e-93	0.93
17-56	17	33063192	33063266	+	471.5	0.648	57.000000	82.0	3.0	27.39	1.23e-85	32.48	2.05e-90	0.86
17-103	17	64053800	64053874	+	471.5	0.762	47.000000	84.0	4.0	21.04	1.84e-78	39.12	8.94e-97	1.05
17-62	17	66457426	66457500	+	471.5	0.743	55.000000	82.0	8.0	10.27	7.58e-53	23.06	7.40e-78	0.92
17-92	17	3157279	3157353	+	465.7	0.848	48.000000	81.0	2.0	40.58	4.92e-98	27.71	5.48e-84	1.02
17-96	17	29467589	29467663	+	465.7	0.667	48.000000	80.0	5.0	16.03	7.11e-66	19.85	4.17e-71	1.01
17-77	17	83750412	83750486	+	465.7	0.693	52.000000	81.0	7.0	11.60	4.19e-56	15.37	1.73e-64	0.94
17-76	17	71420444	71420518	+	459.9	0.712	52.000000	82.0	1.0	82.17	6.55e-124	26.40	2.44e-79	0.94
17-75	17	29008110	29008184	+	454.1	0.725	52.000000	79.0	5.0	15.83	1.14e-64	13.03	5.18e-57	0.94
17-84	17	88404719	88404793	+	454.1	0.733	51.000000	79.0	3.0	26.39	2.44e-81	31.93	2.13e-84	0.96
17-87	17	70828750	70828824	+	448.3	0.533	50.000000	77.0	5.0	15.43	2.83e-62	9.75	1.50e-47	0.96
17-85	17	9580172	9580246	+	442.4	0.728	50.000000	77.0	2.0	38.58	1.24e-91	29.11	2.15e-80	0.97
17-98	17	36099750	36099824	+	442.4	0.793	48.000000	76.0	3.0	25.39	4.31e-77	36.84	5.52e-89	1.02
17-82	17	53551663	53551737	+	436.6	0.862	51.000000	75.0	3.0	25.05	1.10e-75	20.15	5.19e-68	0.92
17-69	17	6860673	6860747	+	430.8	0.658	53.000000	74.0	3.0	24.72	2.75e-74	21.27	7.86e-68	0.87
17-94	17	10335253	10335327	+	430.8	0.726	48.000000	74.0	5.0	14.83	1.00e-58	20.97	3.12e-69	0.96
17-97	17	35505077	35505151	+	430.8	0.640	48.000000	74.0	4.0	18.54	1.81e-65	6.01	5.38e-32	1.01
17-71	17	45607252	45607326	+	430.8	0.596	53.000000	74.0	3.0	24.72	2.75e-74	13.77	5.03e-55	0.87
17-72	17	56833564	56833638	+	430.8	0.640	53.000000	74.0	7.0	10.59	9.12e-49	16.89	8.07e-62	0.90
17-114	17	79343176	79343250	+	425.0	0.714	45.000000	73.0	5.0	14.63	1.49e-57	20.62	6.49e-67	1.05
17-102	17	63583019	63583093	+	419.2	0.810	47.000000	73.0	3.0	24.38	6.79e-73	40.03	6.25e-87	0.98
17-91	17	83469714	83469788	+	419.2	0.611	49.000000	72.0	5.0	14.43	2.18e-56	18.87	2.11e-63	0.98
17-81	17	44472817	44472891	+	413.3	0.735	51.000000	71.0	2.0	35.57	3.35e-82	27.82	7.92e-74	0.95
17-104	17	64873767	64873841	+	413.3	0.786	47.000000	71.0	7.0	10.16	1.05e-45	25.88	1.04e-71	0.97
17-113	17	52728956	52729030	+	401.7	0.681	45.000000	70.0	2.0	35.07	1.19e-80	37.27	2.70e-81	1.00
17-121	17	70403902	70403976	+	395.9	0.617	44.000000	68.0	3.0	22.71	5.11e-66	29.12	4.47e-73	0.99
17-109	17	11533973	11534047	+	390.0	0.726	45.000000	69.0	3.0	23.05	2.21e-67	20.48	3.40e-62	1.03
17-67	17	27501905	27501979	+	390.0	0.824	54.000000	67.0	1.0	67.14	8.80e-96	20.82	4.05e-58	0.79
17-89	17	29008484	29008558	+	390.0	0.707	49.000000	67.0	4.0	16.78	1.02e-56	11.14	5.32e-45	0.89
17-95	17	24203277	24203351	+	384.2	0.566	48.000000	66.0	8.0	8.27	2.49e-37	19.50	5.90e-60	0.91
17-112	17	52611540	52611614	+	384.2	0.750	45.000000	66.0	3.0	22.05	2.60e-63	22.06	1.85e-61	0.98
17-93	17	7529266	7529340	+	378.4	0.575	48.000000	65.0	3.0	21.71	5.73e-62	15.33	1.11e-52	0.90
17-108	17	11353250	11353324	+	378.4	0.662	45.000000	65.0	4.0	16.28	2.84e-54	22.58	4.33e-62	0.95
17-110	17	36995599	36995673	+	378.4	0.582	45.000000	65.0	2.0	32.57	5.48e-73	10.01	9.31e-40	0.98
17-99	17	36997618	36997692	+	378.4	0.655	48.000000	65.0	4.0	16.28	2.84e-54	9.81	1.69e-40	0.89
17-68	17	62049160	62049234	+	378.4	0.641	54.000000	65.0	3.0	21.71	5.73e-62	18.07	1.70e-54	0.80
17-127	17	40893359	40893433	+	372.6	0.710	43.000000	66.0	1.0	66.14	5.91e-94	32.82	5.27e-71	0.99
17-128	17	47368825	47368899	+	372.6	0.694	43.000000	64.0	3.0	21.38	1.25e-60	23.72	2.12e-63	0.98
17-73	17	74470303	74470377	+	372.6	0.819	53.000000	65.0	3.0	21.71	5.73e-62	33.48	1.56e-71	0.80
17-100	17	92608294	92608368	+	366.8	0.664	48.000000	63.0	0.5	126.26	2.92e-107	20.53	1.16e-58	0.92
17-129	17	51839618	51839692	+	360.9	0.697	43.000000	63.0	2.0	31.56	5.73e-70	19.31	3.52e-56	1.00
17-140	17	5660745	5660819	+	355.1	0.596	41.000000	62.0	2.0	31.06	1.81e-68	25.23	4.51e-62	1.01
17-106	17	10377518	10377592	+	355.1	0.695	46.000000	63.0	0.5	126.26	2.92e-107	19.22	3.43e-55	0.90
17-118	17	26511442	26511516	+	355.1	0.729	44.000000	63.0	2.0	31.56	5.73e-70	16.37	3.51e-51	0.94
17-115	17	82274108	82274182	+	355.1	0.762	45.000000	62.0	1.0	62.13	1.03e-86	15.52	7.43e-50	0.94
17-120	17	32130645	32130719	+	349.3	0.766	44.000000	60.0	8.0	7.52	6.38e-32	22.43	3.78e-58	0.93
17-107	17	63351045	63351119	+	349.3	0.714	46.000000	60.0	5.0	12.02	6.83e-43	23.77	1.34e-59	0.91
17-126	17	29494521	29494595	+	343.5	0.781	43.000000	59.0	5.0	11.82	8.22e-42	13.67	3.02e-45	0.94
17-136	17	64390444	64390518	+	343.5	0.731	42.000000	60.0	2.0	30.06	1.72e-65	29.80	3.27e-64	0.99
17-131	17	80151503	80151577	+	343.5	0.626	43.000000	59.0	5.0	11.82	8.22e-42	27.61	2.69e-61	0.95
17-145	17	89934161	89934235	+	343.5	0.641	41.000000	60.0	5.0	12.02	6.83e-43	29.98	2.66e-63	1.00
17-146	17	90625092	90625166	+	343.5	0.750	41.000000	59.0	3.0	19.71	4.76e-54	21.22	7.54e-56	0.97
17-116	17	90631547	90631621	+	343.5	0.667	45.000000	59.0	3.0	19.71	4.76e-54	21.80	1.37e-55	0.89
17-148	17	8463691	8463765	+	337.7	0.850	40.000000	59.0	1.0	59.12	2.35e-81	26.47	2.91e-59	1.02
17-117	17	23605397	23605471	+	337.7	0.806	44.000000	58.0	6.0	9.69	1.43e-36	7.06	1.38e-28	0.91
17-159	17	27994499	27994573	+	337.7	0.776	39.000000	58.0	0.5	116.24	7.95e-97	23.01	5.45e-55	1.03
17-135	17	51695441	51695515	+	337.7	0.664	42.000000	58.0	2.0	29.06	1.53e-62	23.14	4.57e-56	0.94
17-130	17	70900857	70900931	+	337.7	0.713	43.000000	59.0	5.0	11.82	8.22e-42	19.49	5.12e-52	0.92
17-122	17	80207358	80207432	+	337.7	0.699	44.000000	58.0	8.0	7.26	3.56e-30	16.61	4.28e-49	0.93
17-144	17	85646424	85646498	+	337.7	0.769	41.000000	58.0	2.0	29.06	1.53e-62	22.46	2.03e-54	0.95
17-125	17	94866769	94866843	+	337.7	0.729	44.000000	59.0	6.0	9.85	1.45e-37	17.30	3.18e-49	0.92
17-150	17	31113632	31113706	+	331.8	0.680	40.000000	58.0	2.0	29.06	1.53e-62	17.11	3.82e-48	1.00
17-124	17	86148656	86148730	+	331.8	0.754	44.000000	61.0	1.0	61.13	6.41e-85	12.89	1.06e-41	0.91
17-158	17	4092500	4092574	+	326.0	0.644	39.000000	56.0	3.0	18.71	3.47e-50	30.37	1.75e-61	1.00
17-105	17	80801459	80801533	+	326.0	0.492	47.000000	56.0	5.0	11.22	1.30e-38	16.28	3.40e-46	0.84
17-139	17	90584907	90584981	+	326.0	0.556	42.000000	56.0	4.0	14.03	1.29e-43	16.93	2.98e-46	0.93
17-172	17	11068276	11068350	+	320.2	0.745	37.000000	55.0	2.0	27.56	3.57e-58	26.09	6.51e-57	1.05
17-132	17	15247833	15247907	+	320.2	0.628	42.000000	55.0	4.0	13.78	1.82e-42	18.85	9.16e-48	0.92
17-141	17	30533278	30533352	+	320.2	0.710	41.000000	56.0	3.0	18.71	3.47e-50	26.09	6.51e-57	0.94
17-153	17	56008351	56008425	+	320.2	0.727	40.000000	55.0	8.0	6.89	1.31e-27	16.16	2.04e-44	0.94
17-154	17	69222070	69222144	+	320.2	0.775	40.000000	56.0	3.0	18.71	3.47e-50	22.33	2.41e-53	0.99
17-164	17	85189786	85189860	+	320.2	0.829	39.000000	55.0	4.0	13.78	1.82e-42	20.50	2.11e-51	0.99
17-133	17	29451314	29451388	+	314.4	0.650	42.000000	54.0	6.0	9.02	1.14e-32	12.41	1.88e-39	0.89
17-134	17	47818227	47818301	+	314.4	0.754	42.000000	54.0	4.0	13.53	2.50e-41	15.95	6.21e-45	0.89
17-155	17	70747839	70747913	+	314.4	0.550	40.000000	55.0	2.0	27.56	3.57e-58	10.75	2.28e-36	0.95
17-143	17	85257023	85257097	+	314.4	0.524	41.000000	55.0	2.0	27.56	3.57e-58	17.26	1.13e-46	0.95
17-166	17	21368209	21368283	+	308.5	0.907	38.000000	53.0	1.0	53.11	7.73e-71	37.60	6.68e-62	1.02
17-119	17	27241024	27241098	+	308.5	0.864	44.000000	54.0	4.0	13.53	2.50e-41	13.81	4.97e-41	0.85
17-176	17	58932746	58932820	+	308.5	0.622	37.000000	53.0	4.0	13.28	3.39e-40	18.70	1.37e-47	0.99
17-142	17	65916229	65916303	+	308.5	0.747	41.000000	54.0	5.0	10.82	1.61e-36	22.48	1.28e-51	0.92
17-123	17	85625050	85625124	+	308.5	0.667	44.000000	53.0	3.0	17.70	2.16e-46	17.80	1.63e-46	0.85
17-173	17	22118917	22118991	+	302.7	0.579	37.000000	52.0	2.0	26.05	7.08e-54	26.06	7.07e-53	1.00
17-161	17	35593935	35594009	+	302.7	0.770	39.000000	52.0	5.0	10.42	1.86e-34	14.80	5.55e-41	0.95
17-138	17	90390557	90390631	+	302.7	0.703	42.000000	52.0	6.0	8.68	9.17e-31	19.28	2.27e-47	0.89
17-168	17	28593999	28594073	+	296.9	0.670	38.000000	52.0	11.0	4.74	3.40e-19	13.61	3.01e-39	0.98
17-160	17	32553164	32553238	+	296.9	0.657	39.000000	51.0	2.0	25.55	1.85e-52	26.16	5.84e-53	1.03
17-186	17	41262665	41262739	+	296.9	0.716	36.000000	51.0	1.0	51.11	2.14e-67	30.00	6.94e-56	1.03
17-152	17	50919293	50919367	+	296.9	0.787	40.000000	52.0	2.0	26.05	7.08e-54	34.97	3.52e-59	0.98
17-137	17	65956376	65956450	+	296.9	0.692	42.000000	52.0	0.5	104.21	1.50e-84	15.46	4.26e-41	0.89
17-147	17	5848826	5848900	+	291.1	0.744	40.000000	50.0	1.0	50.10	1.09e-65	17.77	4.30e-43	0.90
17-165	17	17739498	17739572	+	291.1	0.659	38.000000	51.0	7.0	7.30	7.81e-27	10.72	9.21e-34	0.96
17-169	17	46080513	46080587	+	291.1	0.733	38.000000	50.0	5.0	10.02	1.99e-32	16.37	1.85e-41	0.95
17-171	17	88346906	88346980	+	291.1	0.468	38.000000	51.0	5.0	10.22	1.94e-33	14.80	3.25e-40	0.99
17-175	17	35543511	35543585	+	285.3	0.652	37.000000	49.0	3.0	16.37	1.89e-41	15.22	5.32e-40	1.00
17-189	17	82200134	82200208	+	285.3	0.684	36.000000	49.0	2.0	24.55	1.18e-49	21.46	5.46e-46	0.99
17-193	17	4948494	4948568	+	279.4	0.616	35.000000	48.0	2.0	24.05	2.91e-48	16.58	6.74e-41	1.05
17-196	17	17516644	17516718	+	279.4	0.775	35.000000	49.0	2.0	24.55	1.18e-49	24.06	2.85e-48	1.02
17-149	17	17612458	17612532	+	279.4	0.679	40.000000	49.0	1.0	49.10	5.48e-64	18.31	7.71e-43	0.89
17-174	17	28984902	28984976	+	279.4	0.667	37.000000	50.0	1.0	50.10	1.09e-65	11.61	5.40e-34	0.96
17-180	17	86751613	86751687	+	279.4	0.636	37.000000	48.0	1.0	48.10	2.69e-62	14.60	2.07e-38	0.93
17-181	17	86926840	86926914	+	279.4	0.583	37.000000	48.0	3.0	16.03	3.11e-40	24.11	2.43e-47	0.94
17-182	17	87530709	87530783	+	279.4	0.787	37.000000	48.0	5.0	9.62	1.96e-30	15.27	2.79e-39	0.93
17-236	17	88307195	88307269	+	279.4	0.768	33.000000	48.0	3.0	16.03	3.11e-40	21.46	5.46e-46	1.05
17-211	17	10567631	10567705	+	273.6	0.571	34.000000	47.0	4.0	11.77	1.40e-33	25.28	2.84e-48	1.03
17-183	17	18523533	18523607	+	273.6	0.629	36.000000	47.0	4.0	11.77	1.40e-33	17.04	1.33e-40	0.97
17-203	17	66439589	66439663	+	273.6	0.638	35.000000	49.0	7.0	7.01	4.10e-25	12.56	8.43e-35	1.00
17-223	17	85163103	85163177	+	273.6	0.701	34.000000	47.0	1.0	47.10	1.29e-60	11.65	2.36e-31	0.98
17-278	17	47914939	47915013	+	267.8	0.774	30.000000	47.0	0.5	94.19	1.51e-74	15.65	3.56e-38	1.15
17-187	17	56631939	56632013	+	267.8	0.796	36.000000	46.0	2.0	23.05	1.65e-45	12.87	1.54e-34	0.96
17-177	17	63533327	63533401	+	267.8	0.733	37.000000	46.0	2.0	23.05	1.65e-45	13.20	5.17e-35	0.90
17-235	17	67694046	67694120	+	267.8	0.670	33.000000	46.0	6.0	7.68	2.96e-25	11.59	1.35e-30	1.02
17-188	17	78916031	78916105	+	267.8	0.643	36.000000	46.0	3.0	15.36	7.84e-38	11.43	1.08e-31	0.94
17-157	17	82331641	82331715	+	267.8	0.856	40.000000	46.0	2.0	23.05	1.65e-45	20.71	1.83e-43	0.86
17-191	17	83606633	83606707	+	267.8	0.688	36.000000	46.0	4.0	11.52	1.65e-32	20.82	1.16e-42	0.94
17-252	17	12999825	12999899	+	262.0	0.826	31.000000	45.0	3.0	15.03	1.21e-36	10.70	3.14e-29	1.06
17-170	17	46810816	46810890	+	262.0	0.769	38.000000	47.0	7.0	6.73	1.99e-23	6.89	1.98e-22	0.90
17-201	17	47566262	47566336	+	262.0	0.646	35.000000	45.0	8.0	5.64	1.37e-19	14.63	3.74e-36	0.97
17-202	17	65725587	65725661	+	262.0	0.728	35.000000	45.0	5.0	9.02	1.65e-27	10.50	6.50e-29	0.93
17-162	17	70040932	70041006	+	262.0	0.747	39.000000	46.0	3.0	15.36	7.84e-38	23.92	3.00e-45	0.89
17-179	17	79708296	79708370	+	262.0	0.702	37.000000	45.0	3.0	15.03	1.21e-36	16.63	1.67e-38	0.89
17-163	17	81354334	81354408	+	262.0	0.576	39.000000	46.0	1.0	46.09	6.09e-59	32.54	4.68e-51	0.89
17-190	17	83248681	83248755	+	262.0	0.838	36.000000	45.0	2.0	22.55	3.81e-44	20.08	4.34e-41	0.92
17-225	17	9202848	9202922	+	256.1	0.729	33.000000	44.0	2.0	22.05	8.60e-43	20.54	1.34e-40	1.02
17-195	17	14301771	14301845	+	256.1	0.674	35.000000	45.0	0.5	90.19	1.31e-70	20.94	7.38e-42	0.95
17-167	17	24134201	24134275	+	256.1	0.726	38.000000	44.0	6.0	7.35	1.72e-23	14.97	5.01e-35	0.86
17-291	17	40456088	40456162	+	256.1	0.654	29.000000	44.0	4.0	11.02	2.15e-30	28.83	1.02e-47	1.11
17-219	17	51837093	51837167	+	256.1	0.708	34.000000	44.0	5.0	8.82	1.49e-26	11.57	1.46e-30	0.96
17-232	17	56869701	56869775	+	256.1	0.841	33.000000	44.0	7.0	6.30	5.75e-21	11.51	3.82e-31	0.98
17-204	17	70864918	70864992	+	256.1	0.490	35.000000	46.0	3.0	15.36	7.84e-38	5.91	6.24e-20	0.95
17-295	17	72164312	72164386	+	256.1	0.595	29.000000	44.0	2.0	22.05	8.60e-43	22.59	2.36e-41	1.11
17-207	17	88334040	88334114	+	256.1	0.691	35.000000	46.0	1.0	46.09	6.09e-59	16.08	4.41e-37	0.98
17-251	17	90995584	90995658	+	256.1	0.564	32.000000	45.0	4.0	11.27	1.91e-31	18.20	2.64e-39	1.04
17-194	17	7533707	7533781	+	250.3	0.605	35.000000	43.0	7.0	6.16	3.64e-20	8.49	8.47e-25	0.92
17-256	17	27041459	27041533	+	250.3	0.714	31.000000	44.0	6.0	7.35	1.72e-23	10.23	1.75e-28	1.06
17-184	17	30878944	30879018	+	250.3	0.825	36.000000	43.0	3.0	14.36	2.67e-34	14.90	6.19e-35	0.91
17-228	17	31808309	31808383	+	250.3	0.660	33.000000	43.0	4.0	10.77	2.38e-29	7.59	1.69e-22	0.99
17-218	17	49360433	49360507	+	250.3	0.828	34.000000	43.0	4.0	10.77	2.38e-29	25.87	1.01e-44	0.93
17-156	17	82272983	82273057	+	250.3	0.545	40.000000	43.0	2.0	21.54	1.90e-41	10.42	8.65e-29	0.84
17-208	17	90696673	90696747	+	250.3	0.779	35.000000	43.0	5.0	8.62	1.32e-25	17.56	7.98e-38	0.91
17-210	17	91274565	91274639	+	250.3	0.866	35.000000	43.0	7.0	6.16	3.64e-20	20.82	6.31e-40	0.94
17-197	17	24811457	24811531	+	244.5	0.671	35.000000	42.0	3.0	14.03	3.85e-33	23.16	8.75e-42	0.92
17-213	17	32635177	32635251	+	244.5	0.658	34.000000	42.0	5.0	8.42	1.14e-24	24.27	1.32e-42	0.92
