# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/jkissinger/lab5/tagdirs/Klf4
#
# total peaks = 3020
# peak size = 75
# peaks found using tags on both strands
# minimum distance between peaks = 150
# fragment length = 74
# genome size = 2000000000
# Total tags = 1720172.0
# Total tags in peaks = 53736.0
# Approximate IP efficiency = 3.12%
# tags per bp = 0.000798
# expected tags per peak = 0.060
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.086211e-07
# FDR tag threshold = 4.0
# number of putative peaks = 93354
#
# input tag directory = /home/jkissinger/lab5/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 83515
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 6819
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /home/jkissinger/lab5/tagdirs/Klf4 -i /home/jkissinger/lab5/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
17-56	17	45573287	45573361	+	447.6	0.712	45.000000	80.0	2.0	40.03	2.23e-96	13.16	2.49e-57	1.05
17-35	17	56758217	56758291	+	447.6	0.534	51.000000	78.0	4.0	19.51	1.48e-70	14.56	1.88e-60	0.92
17-50	17	66480469	66480543	+	447.6	0.759	47.000000	78.0	4.0	19.51	1.48e-70	9.95	8.86e-49	1.00
17-61	17	66419526	66419600	+	436.0	0.763	44.000000	76.0	3.0	25.35	4.78e-77	19.81	2.22e-68	1.05
17-52	17	37079261	37079335	+	430.2	0.640	46.000000	74.0	4.0	18.51	1.99e-65	13.81	1.35e-56	1.02
17-64	17	10432972	10433046	+	424.4	0.655	43.000000	73.0	4.0	18.26	3.69e-64	14.27	8.13e-57	1.03
17-43	17	29855368	29855442	+	424.4	0.672	47.000000	73.0	4.0	18.26	3.69e-64	14.77	2.63e-56	0.95
17-60	17	29008102	29008176	+	418.6	0.593	44.000000	72.0	4.0	18.01	6.75e-63	11.82	2.96e-49	1.05
17-48	17	45495557	45495631	+	406.9	0.615	47.000000	70.0	8.0	8.76	4.99e-41	16.82	2.07e-58	0.96
17-36	17	70828295	70828369	+	406.9	0.631	51.000000	71.0	5.0	14.21	3.45e-55	10.04	9.65e-45	0.86
17-39	17	31899122	31899196	+	401.1	0.600	49.000000	69.0	3.0	23.01	2.43e-67	21.35	1.93e-62	0.89
17-47	17	37990772	37990846	+	401.1	0.838	47.000000	69.0	6.0	11.51	7.49e-48	24.86	1.42e-68	0.95
17-49	17	56036683	56036757	+	401.1	0.740	47.000000	69.0	2.0	34.52	4.60e-79	17.83	4.52e-60	0.94
17-63	17	88511220	88511294	+	401.1	0.586	44.000000	70.0	6.0	11.67	6.41e-49	12.46	4.94e-50	1.01
17-51	17	28594029	28594103	+	395.3	0.619	46.000000	68.0	9.0	7.56	4.26e-36	14.37	1.02e-51	0.93
JH584304.1-4	JH584304.1	59298	59372	+	395.3	0.789	38.000000	68.0	17.0	4.00	1.00e-20	10.07	1.36e-43	1.16
17-44	17	33892680	33892754	+	389.5	0.628	47.000000	67.0	7.0	9.58	1.12e-41	13.23	2.94e-50	0.94
17-96	17	64099624	64099698	+	389.5	0.648	39.000000	67.0	3.0	22.35	1.27e-64	32.84	2.06e-75	1.09
17-57	17	84351471	84351545	+	383.7	0.727	45.000000	68.0	3.0	22.68	5.60e-66	19.67	3.36e-60	0.98
17-80	17	29979981	29980055	+	366.2	0.653	41.000000	63.0	3.0	21.01	2.90e-59	18.69	3.20e-56	1.04
17-66	17	35916485	35916559	+	366.2	0.445	43.000000	63.0	7.0	9.01	8.68e-38	6.06	1.55e-27	0.94
17-53	17	56997268	56997342	+	366.2	0.633	46.000000	64.0	7.0	9.15	9.47e-39	15.27	5.22e-51	0.92
17-77	17	17738857	17738931	+	360.4	0.569	41.000000	62.0	5.0	12.41	4.86e-45	14.47	4.14e-48	1.02
17-78	17	24696649	24696723	+	360.4	0.700	41.000000	63.0	3.0	21.01	2.90e-59	17.31	2.12e-53	1.00
17-58	17	5874765	5874839	+	354.6	0.664	44.000000	61.0	5.0	12.21	6.04e-44	22.12	8.45e-58	0.91
17-71	17	28981194	28981268	+	354.6	0.570	42.000000	62.0	2.0	31.02	1.97e-68	15.17	2.73e-49	0.97
17-106	17	88141743	88141817	+	354.6	0.781	38.000000	61.0	1.0	61.04	6.97e-85	23.54	1.94e-57	1.03
17-42	17	10366768	10366842	+	348.8	0.764	47.000000	61.0	5.0	12.21	6.04e-44	14.06	3.70e-45	0.85
17-70	17	28231216	28231290	+	348.8	0.748	42.000000	60.0	8.0	7.50	6.87e-32	13.51	5.88e-45	0.97
17-59	17	28629274	28629348	+	348.8	0.585	44.000000	60.0	1.0	60.04	4.26e-83	14.96	2.18e-47	0.90
17-65	17	32635162	32635236	+	348.8	0.603	43.000000	62.0	5.0	12.41	4.86e-45	23.22	5.22e-59	0.95
17-76	17	70828784	70828858	+	348.8	0.623	42.000000	60.0	3.0	20.01	2.57e-55	8.63	4.37e-35	0.95
17-90	17	80635978	80636052	+	348.8	0.701	40.000000	60.0	4.0	15.01	3.02e-48	16.91	1.65e-49	0.98
17-326	17	31570428	31570502	+	343.0	0.968	26.000000	59.0	13.0	4.54	1.06e-20	22.12	7.24e-57	1.55
17-68	17	66457465	66457539	+	343.0	0.745	43.000000	59.0	9.0	6.56	2.02e-28	15.43	3.91e-48	0.90
17-62	17	80499275	80499349	+	337.2	0.526	44.000000	58.0	2.0	29.02	1.66e-62	9.87	5.51e-37	0.89
17-74	17	45573842	45573916	+	331.4	0.603	42.000000	58.0	4.0	14.51	6.70e-46	9.26	2.14e-34	0.91
17-89	17	72881983	72882057	+	331.4	0.809	40.000000	57.0	6.0	9.51	1.49e-35	35.12	6.52e-65	0.95
17-108	17	94866767	94866841	+	331.4	0.542	38.000000	58.0	6.0	9.67	1.54e-36	19.10	1.55e-51	1.02
17-87	17	35725760	35725834	+	325.5	0.699	40.000000	56.0	7.0	8.01	3.00e-31	15.75	1.87e-45	0.98
17-82	17	68004216	68004290	+	325.5	0.621	41.000000	56.0	6.0	9.34	1.42e-34	19.06	7.19e-49	0.92
17-94	17	36982339	36982413	+	319.7	0.627	39.000000	55.0	6.0	9.17	1.33e-33	11.42	5.22e-37	0.95
17-81	17	45823649	45823723	+	319.7	0.775	41.000000	55.0	4.0	13.76	1.95e-42	12.64	1.49e-40	0.91
17-107	17	88256510	88256584	+	319.7	0.586	38.000000	55.0	3.0	18.35	6.99e-49	9.28	2.87e-33	1.02
17-84	17	11353433	11353507	+	313.9	0.833	40.000000	56.0	4.0	14.01	1.39e-43	21.92	4.61e-51	0.93
17-85	17	28785233	28785307	+	313.9	0.621	40.000000	55.0	2.0	27.52	3.85e-58	12.24	3.74e-39	0.96
17-79	17	29848999	29849073	+	313.9	0.547	41.000000	56.0	4.0	14.01	1.39e-43	11.05	2.65e-36	0.90
17-122	17	40934648	40934722	+	313.9	0.810	36.000000	55.0	2.0	27.52	3.85e-58	28.93	3.00e-58	1.05
17-67	17	45602082	45602156	+	313.9	0.493	43.000000	55.0	5.0	11.01	1.57e-37	8.69	2.45e-31	0.88
17-88	17	45678265	45678339	+	313.9	0.782	40.000000	54.0	4.0	13.51	2.69e-41	18.90	1.08e-48	0.94
17-69	17	70866898	70866972	+	313.9	0.852	43.000000	54.0	8.0	6.75	9.64e-27	7.31	2.38e-28	0.87
17-114	17	79365130	79365204	+	313.9	0.581	37.000000	54.0	8.0	6.75	9.64e-27	17.36	5.73e-46	1.00
17-99	17	87973383	87973457	+	313.9	0.569	39.000000	54.0	7.0	7.72	1.90e-29	6.80	7.10e-27	0.99
17-72	17	29438590	29438664	+	308.1	0.891	42.000000	53.0	5.0	10.61	1.87e-35	11.17	1.55e-36	0.88
17-101	17	10432015	10432089	+	302.3	0.673	38.000000	52.0	4.0	13.01	4.83e-39	9.61	3.24e-32	0.97
17-109	17	25920404	25920478	+	302.3	0.467	37.000000	54.0	3.0	18.01	1.28e-47	14.52	2.41e-41	0.99
17-91	17	28020221	28020295	+	302.3	0.693	39.000000	52.0	0.5	104.07	1.61e-84	15.10	2.15e-41	0.92
17-120	17	29728239	29728313	+	302.3	0.725	36.000000	52.0	1.0	52.03	4.41e-69	17.92	8.24e-46	1.02
17-73	17	32389529	32389603	+	302.3	0.522	42.000000	52.0	4.0	13.01	4.83e-39	12.07	8.40e-37	0.88
17-93	17	33600026	33600100	+	302.3	0.602	39.000000	52.0	3.0	17.34	4.10e-45	10.47	1.47e-34	0.94
17-103	17	56958121	56958195	+	302.3	0.598	38.000000	52.0	1.0	52.03	4.41e-69	12.53	2.87e-38	0.94
17-75	17	65614073	65614147	+	302.3	0.933	42.000000	53.0	8.0	6.63	6.53e-26	11.93	3.10e-37	0.89
17-123	17	70750684	70750758	+	302.3	0.677	36.000000	52.0	6.0	8.67	9.78e-31	7.59	4.42e-28	1.02
17-118	17	23601411	23601485	+	296.5	0.741	36.000000	51.0	5.0	10.21	2.07e-33	7.36	1.71e-26	1.02
17-127	17	24950876	24950950	+	296.5	0.756	35.000000	52.0	4.0	13.01	4.83e-39	16.33	2.08e-41	1.03
17-164	17	47710233	47710307	+	296.5	0.653	33.000000	51.0	3.0	17.01	7.11e-44	11.10	1.90e-34	1.11
17-113	17	74527024	74527098	+	296.5	0.620	37.000000	51.0	2.0	25.52	1.98e-52	11.17	3.12e-35	0.97
17-86	17	34122665	34122739	+	290.7	0.586	40.000000	50.0	7.0	7.15	6.07e-26	6.09	5.67e-23	0.89
17-83	17	70738316	70738390	+	290.7	0.755	41.000000	52.0	4.0	13.01	4.83e-39	12.23	2.26e-36	0.86
17-98	17	84003964	84004038	+	290.7	0.607	39.000000	51.0	2.0	25.52	1.98e-52	11.73	7.42e-35	0.92
17-115	17	88256355	88256429	+	290.7	0.553	37.000000	50.0	1.0	50.03	1.17e-65	8.33	2.59e-28	0.94
17-117	17	17624565	17624639	+	284.9	0.674	36.000000	49.0	7.0	7.00	4.36e-25	11.22	5.39e-34	0.97
17-95	17	45474852	45474926	+	284.9	0.717	39.000000	51.0	6.0	8.51	8.51e-30	10.84	1.10e-32	0.90
17-97	17	70737544	70737618	+	284.9	0.582	39.000000	49.0	7.0	7.00	4.36e-25	11.68	4.24e-34	0.93
17-105	17	82273147	82273221	+	284.9	0.681	38.000000	49.0	1.0	49.03	5.86e-64	20.69	2.90e-45	0.90
17-149	17	88440490	88440564	+	284.9	0.635	34.000000	49.0	7.0	7.00	4.36e-25	11.96	1.46e-34	1.01
17-92	17	31326632	31326706	+	279.0	0.552	39.000000	49.0	3.0	16.34	2.02e-41	9.62	1.93e-30	0.93
17-132	17	36099744	36099818	+	279.0	0.776	35.000000	48.0	3.0	16.01	3.31e-40	24.53	1.18e-48	1.01
17-135	17	80621083	80621157	+	279.0	0.637	35.000000	50.0	4.0	12.51	8.04e-37	20.29	7.02e-45	1.01
17-100	17	3288496	3288570	+	273.2	0.727	38.000000	48.0	5.0	9.61	2.09e-30	15.71	1.86e-37	0.86
17-102	17	13683875	13683949	+	273.2	0.600	38.000000	48.0	4.0	12.01	1.24e-34	10.67	9.63e-32	0.89
17-139	17	31267815	31267889	+	273.2	0.535	34.000000	48.0	5.0	9.61	2.09e-30	7.59	1.46e-25	1.00
17-121	17	33981255	33981329	+	273.2	0.733	36.000000	47.0	8.0	5.88	4.23e-21	12.62	7.08e-35	0.94
17-143	17	44472756	44472830	+	273.2	0.610	34.000000	48.0	1.0	48.03	2.87e-62	16.72	3.09e-40	1.00
17-104	17	65869887	65869961	+	273.2	0.730	38.000000	48.0	7.0	6.86	3.06e-24	9.94	3.24e-29	0.88
17-112	17	66479997	66480071	+	273.2	0.708	37.000000	48.0	2.0	24.02	3.11e-48	5.58	5.03e-19	0.89
17-124	17	84028705	84028779	+	273.2	0.569	36.000000	47.0	5.0	9.41	2.01e-29	11.51	1.75e-32	0.98
17-148	17	87601755	87601829	+	273.2	0.714	34.000000	47.0	3.0	15.68	5.31e-39	12.84	1.69e-34	0.98
17-158	17	28000932	28001006	+	267.4	0.521	33.000000	46.0	4.0	11.51	1.75e-32	13.23	2.50e-34	0.99
17-175	17	29093572	29093646	+	267.4	0.646	32.000000	46.0	4.0	11.51	1.75e-32	8.87	8.57e-28	1.04
17-144	17	55186520	55186594	+	267.4	0.683	34.000000	46.0	4.0	11.51	1.75e-32	26.94	1.68e-48	1.01
17-134	17	79896114	79896188	+	267.4	0.583	35.000000	46.0	1.0	46.03	6.49e-59	14.06	3.56e-36	0.95
17-116	17	12183223	12183297	+	261.6	0.670	36.000000	46.0	3.0	15.34	8.33e-38	12.34	2.30e-32	0.92
17-111	17	35502913	35502987	+	261.6	0.692	37.000000	46.0	2.0	23.01	1.76e-45	4.66	1.41e-16	0.88
17-131	17	35593889	35593963	+	261.6	0.616	35.000000	46.0	5.0	9.21	1.90e-28	10.36	6.14e-30	0.93
17-179	17	40456098	40456172	+	261.6	0.598	32.000000	46.0	4.0	11.51	1.75e-32	29.41	4.37e-48	1.01
17-202	17	63829114	63829188	+	261.6	0.687	31.000000	46.0	1.0	46.03	6.49e-59	17.13	3.29e-38	1.04
17-169	17	8310971	8311045	+	255.8	0.577	32.000000	44.0	5.0	8.81	1.58e-26	17.87	2.77e-37	0.97
17-137	17	12182844	12182918	+	255.8	0.579	34.000000	44.0	4.0	11.01	2.28e-30	12.21	3.53e-32	0.94
17-156	17	27033076	27033150	+	255.8	0.547	33.000000	44.0	3.0	14.68	1.92e-35	10.97	2.65e-30	0.97
17-119	17	27820827	27820901	+	255.8	0.564	36.000000	44.0	5.0	8.81	1.58e-26	10.75	1.13e-28	0.88
17-130	17	28281189	28281263	+	255.8	0.750	35.000000	44.0	2.0	22.01	9.12e-43	16.26	2.78e-37	0.92
17-141	17	33584233	33584307	+	255.8	0.800	34.000000	44.0	4.0	11.01	2.28e-30	18.14	3.01e-39	0.92
17-110	17	34119129	34119203	+	255.8	0.568	37.000000	44.0	2.0	22.01	9.12e-43	5.13	2.35e-17	0.87
17-177	17	34122222	34122296	+	255.8	0.670	32.000000	45.0	3.0	15.01	1.28e-36	5.32	2.82e-18	1.04
17-229	17	5660769	5660843	+	250.0	0.625	29.000000	44.0	6.0	7.34	1.82e-23	21.15	4.02e-41	1.13
17-126	17	11534029	11534103	+	250.0	0.590	35.000000	43.0	4.0	10.76	2.52e-29	14.29	1.88e-33	0.88
17-128	17	26549677	26549751	+	250.0	0.671	35.000000	44.0	4.0	11.01	2.28e-30	10.35	1.15e-28	0.93
17-160	17	29451079	29451153	+	250.0	0.582	33.000000	43.0	6.0	7.17	1.34e-22	7.40	1.31e-22	0.97
17-142	17	36836241	36836315	+	250.0	0.703	34.000000	43.0	5.0	8.61	1.40e-25	13.42	4.03e-33	0.93
17-161	17	37073040	37073114	+	250.0	0.590	33.000000	43.0	2.0	21.51	2.01e-41	10.11	1.19e-27	0.94
17-162	17	40495631	40495705	+	250.0	0.731	33.000000	44.0	6.0	7.34	1.82e-23	20.18	2.78e-40	0.99
17-220	17	62111879	62111953	+	250.0	0.716	30.000000	43.0	3.0	14.34	2.83e-34	23.32	7.29e-43	1.02
17-184	17	83862688	83862762	+	250.0	0.621	32.000000	44.0	5.0	8.81	1.58e-26	9.15	1.34e-26	0.99
17-167	17	3616493	3616567	+	244.2	0.662	32.000000	42.0	3.0	14.01	4.06e-33	28.80	1.31e-45	1.00
17-153	17	23630340	23630414	+	244.2	0.671	33.000000	43.0	0.5	86.06	1.11e-66	13.26	3.41e-32	0.94
17-155	17	24567248	24567322	+	244.2	0.746	33.000000	42.0	4.0	10.51	2.71e-28	14.59	4.88e-33	0.94
17-200	17	37196392	37196466	+	244.2	0.655	31.000000	42.0	1.0	42.03	2.55e-52	11.87	5.87e-29	0.98
17-163	17	46812221	46812295	+	244.2	0.495	33.000000	42.0	3.0	14.01	4.06e-33	5.62	5.86e-18	0.97
17-147	17	87530583	87530657	+	244.2	0.510	34.000000	42.0	3.0	14.01	4.06e-33	8.75	2.67e-25	0.91
17-136	17	87677770	87677844	+	244.2	0.721	35.000000	42.0	5.0	8.41	1.20e-24	13.17	4.51e-32	0.91
17-187	17	10432694	10432768	+	238.3	0.655	31.000000	41.0	3.0	13.68	5.70e-32	7.39	1.35e-21	0.98
17-209	17	24152058	24152132	+	238.3	0.618	30.000000	41.0	6.0	6.84	6.77e-21	15.46	5.26e-34	1.00
17-129	17	27041425	27041499	+	238.3	0.655	35.000000	42.0	7.0	6.00	2.36e-19	7.25	8.41e-22	0.88
17-157	17	27580533	27580607	+	238.3	0.708	33.000000	41.0	2.0	20.51	9.11e-39	12.28	3.43e-30	0.97
17-173	17	28079736	28079810	+	238.3	0.754	32.000000	41.0	1.0	41.03	1.07e-50	8.14	4.57e-23	0.95
17-192	17	31658942	31659016	+	238.3	0.578	31.000000	41.0	2.0	20.51	9.11e-39	11.47	4.39e-29	1.00
17-215	17	31808263	31808337	+	238.3	0.611	30.000000	41.0	6.0	6.84	6.77e-21	7.15	1.41e-21	1.00
17-216	17	34952395	34952469	+	238.3	0.704	30.000000	42.0	7.0	6.00	2.36e-19	9.12	2.18e-25	1.03
17-181	17	56289701	56289775	+	238.3	0.583	32.000000	41.0	4.0	10.26	2.86e-27	6.33	9.98e-20	0.94
17-146	17	79354862	79354936	+	238.3	0.590	34.000000	41.0	5.0	8.21	1.02e-23	11.87	1.21e-29	0.91
17-185	17	84497143	84497217	+	238.3	0.558	32.000000	42.0	1.0	42.03	2.55e-52	18.03	1.40e-36	0.97
17-150	17	93482624	93482698	+	238.3	0.621	34.000000	42.0	3.0	14.01	4.06e-33	20.87	4.66e-39	0.94
17-152	17	17740110	17740184	+	232.5	0.699	33.000000	43.0	7.0	6.15	3.83e-20	9.17	6.66e-25	0.92
17-159	17	28985190	28985264	+	232.5	0.815	33.000000	40.0	4.0	10.01	2.94e-26	8.76	1.25e-23	0.90
17-140	17	31806679	31806753	+	232.5	0.532	34.000000	42.0	6.0	7.00	9.63e-22	6.57	7.93e-20	0.89
17-236	17	33951578	33951652	+	232.5	0.551	29.000000	41.0	6.0	6.84	6.77e-21	7.48	2.86e-21	1.06
17-178	17	36970628	36970702	+	232.5	0.612	32.000000	40.0	5.0	8.01	8.36e-23	5.95	5.75e-18	0.93
17-241	17	43558776	43558850	+	232.5	0.688	29.000000	40.0	5.0	8.01	8.36e-23	17.64	2.22e-35	1.01
17-182	17	56664453	56664527	+	232.5	0.575	32.000000	40.0	4.0	10.01	2.94e-26	9.80	6.17e-26	0.92
17-247	17	66439512	66439586	+	232.5	0.697	29.000000	41.0	2.0	20.51	9.11e-39	11.79	7.50e-29	1.05
17-203	17	70865479	70865553	+	232.5	0.439	31.000000	40.0	4.0	10.01	2.94e-26	5.58	4.70e-17	0.96
17-183	17	80500209	80500283	+	232.5	0.646	32.000000	40.0	5.0	8.01	8.36e-23	6.67	4.75e-20	0.95
17-225	17	84645704	84645778	+	232.5	0.605	30.000000	40.0	3.0	13.34	7.81e-31	16.34	4.04e-34	1.01
17-311	17	86802667	86802741	+	232.5	0.655	27.000000	40.0	4.0	10.01	2.94e-26	12.91	2.64e-30	1.13
17-151	17	4778371	4778445	+	226.7	0.800	33.000000	41.0	3.0	13.68	5.70e-32	25.05	3.37e-40	0.90
17-232	17	26547916	26547990	+	226.7	0.618	29.000000	39.0	4.0	9.76	2.95e-25	9.66	4.10e-25	0.99
17-172	17	27635206	27635280	+	226.7	0.594	32.000000	39.0	7.0	5.58	4.82e-17	8.70	1.58e-23	0.90
17-212	17	27909114	27909188	+	226.7	0.679	30.000000	39.0	8.0	4.88	3.34e-15	10.14	7.60e-26	0.96
17-262	17	35838680	35838754	+	226.7	0.849	28.000000	40.0	5.0	8.01	8.36e-23	4.50	4.18e-14	1.11
17-198	17	36109526	36109600	+	226.7	0.846	31.000000	40.0	1.0	40.03	4.40e-49	17.15	4.44e-34	0.96
17-217	17	36148697	36148771	+	226.7	0.662	30.000000	39.0	4.0	9.76	2.95e-25	13.34	2.26e-29	1.00
17-265	17	37045869	37045943	+	226.7	0.833	28.000000	39.0	2.0	19.51	3.75e-36	8.05	2.32e-22	1.06
17-302	17	46680718	46680792	+	226.7	0.736	27.000000	39.0	4.0	9.76	2.95e-25	7.52	7.74e-21	1.08
17-204	17	73263358	73263432	+	226.7	0.655	31.000000	39.0	6.0	6.50	3.12e-19	17.05	3.70e-33	1.00
17-253	17	15380687	15380761	+	220.9	0.488	28.000000	38.0	3.0	12.67	1.36e-28	10.48	1.03e-25	1.04
17-231	17	16770750	16770824	+	220.9	0.830	29.000000	38.0	1.0	38.02	6.87e-46	28.09	4.95e-41	1.00
17-207	17	17625070	17625144	+	220.9	0.511	30.000000	38.0	3.0	12.67	1.36e-28	8.07	2.52e-21	0.95
17-208	17	21065628	21065702	+	220.9	0.506	30.000000	38.0	1.0	38.02	6.87e-46	16.87	5.32e-33	0.97
17-285	17	24203277	24203351	+	220.9	0.815	27.000000	38.0	7.0	5.43	2.70e-16	7.85	6.18e-21	1.06
17-154	17	24251344	24251418	+	220.9	0.740	33.000000	38.0	4.0	9.51	2.88e-24	12.95	3.31e-28	0.89
17-174	17	28362792	28362866	+	220.9	0.719	32.000000	38.0	0.5	76.05	4.12e-57	8.66	6.95e-23	0.88
17-257	17	28927479	28927553	+	220.9	0.792	28.000000	38.0	3.0	12.67	1.36e-28	9.47	3.28e-24	1.00
17-235	17	29264335	29264409	+	220.9	0.727	29.000000	38.0	3.0	12.67	1.36e-28	7.34	1.69e-20	1.04
17-259	17	29614829	29614903	+	220.9	0.722	28.000000	39.0	6.0	6.50	3.12e-19	11.72	2.09e-27	1.08
17-189	17	30158629	30158703	+	220.9	0.500	31.000000	38.0	3.0	12.67	1.36e-28	12.33	3.63e-28	0.94
17-273	17	53478905	53478979	+	220.9	0.628	28.000000	38.0	8.0	4.75	1.64e-14	10.00	5.14e-25	1.00
17-165	17	56291397	56291471	+	220.9	0.791	33.000000	38.0	8.0	4.75	1.64e-14	6.16	5.20e-18	0.91
17-166	17	56990064	56990138	+	220.9	0.620	33.000000	39.0	8.0	4.88	3.34e-15	11.48	4.32e-27	0.91
17-201	17	57118860	57118934	+	220.9	0.558	31.000000	40.0	0.5	80.05	6.59e-61	9.14	1.09e-23	0.94
17-221	17	65868203	65868277	+	220.9	0.614	30.000000	39.0	2.0	19.51	3.75e-36	8.40	1.94e-22	0.97
17-205	17	74470256	74470330	+	220.9	0.643	31.000000	39.0	7.0	5.58	4.82e-17	21.31	1.19e-36	0.94
17-125	17	86982731	86982805	+	220.9	0.616	36.000000	39.0	3.0	13.01	1.04e-29	12.27	4.31e-28	0.88
17-170	17	17612522	17612596	+	215.1	0.723	32.000000	37.0	0.5	74.05	3.13e-55	18.83	5.68e-33	0.87
17-138	17	25819545	25819619	+	215.1	0.597	34.000000	38.0	2.0	19.01	7.32e-35	10.62	2.79e-25	0.83
17-190	17	31423179	31423253	+	215.1	0.560	31.000000	37.0	0.5	74.05	3.13e-55	9.07	5.43e-23	0.95
17-261	17	31870249	31870323	+	215.1	0.636	28.000000	37.0	2.0	18.51	1.39e-33	13.12	1.12e-27	0.99
